,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
122,1030 Wolf St,Philadelphia,PA,19148,240000,1480,960,1,1,3,[],[],['Wall Unit Cooling'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3210,Multi family,1925,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
123,1411 S Hancock St,Philadelphia,PA,19147,655000,3000,897,3,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,658,Single family,2019,05/15/2020,['Neighborhood: COBBS CREEK<'],['171'],53.0
124,329 Levick St,Philadelphia,PA,19111,286000,2731,9656,[],[],0,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3110,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],[],53.0
125,3512 Dows Rd,Philadelphia,PA,19154,255000,1449,2725,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2870,Multi family,1967,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
126,2727 Reed St,Philadelphia,PA,19146,147000,1264,1002,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1445,Multi family,1923,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
127,1134 N Union St,Philadelphia,PA,19104,129999,1050,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1935,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
128,1311 Medary Ave,Philadelphia,PA,19141,690000,6800,5390,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6236,[],1925,[],['Neighborhood: COBBS CREEK<'],[],53.0
129,2014 Upland Way,Philadelphia,PA,19131,223000,1773,7800,2,[''],3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3544,Single family,1986,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
130,4608 Hartel Ave,Philadelphia,PA,19136,131000,1024,1460,1,[''],3,[],[],['Wall Unit Cooling'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1601,Multi family,1945,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
131,1414 S Bancroft St,Philadelphia,PA,19146,265000,1184,793,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2014,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
132,5524 Cambridge St,Philadelphia,PA,19131,169000,1165,1169,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,678,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
133,2447 Cedar St,Philadelphia,PA,19125,210000,1120,839,1,[''],2,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2373,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
134,6110-12 Keystone St,Philadelphia,PA,19135,140000,1350,4999,1,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1412,[],1930,[],['Neighborhood: COBBS CREEK<'],['0'],53.0
135,3850 Woodhaven Rd Unit 702,Philadelphia,PA,19154,167375,1133,[],1,1,2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1344,Condo,1980,05/17/2020,['Neighborhood: COBBS CREEK<'],['322'],53.0
136,1132 W Wyoming Ave,Philadelphia,PA,19140,70000,1368,1520,1,[''],3,[],[],['Wall Unit Cooling'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1200,Multi family,1935,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
