,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
187,3429 Crystal St,Philadelphia,PA,19134,29900,728,[],1,[''],2,[],[],[],[],[],[],[],[],[],Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
188,728 Wharton St,Philadelphia,PA,19147,290000,1300,[],1,1,4,[],[],[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
189,58 Good St,Philadelphia,PA,19119,183000,1250,1523,1,[''],3,[],[],['Ceiling Fan(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2061,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
190,2024 N 15th St,Philadelphia,PA,19121,630000,2481,1440,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1148,[],2010,[],['Neighborhood: COBBS CREEK<'],[],53.0
191,3740 M St,Philadelphia,PA,19124,83000,1260,900,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,903,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
192,3458 Emerald St,Philadelphia,PA,19134,57000,937,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1910,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
193,2252 N Front St,Philadelphia,PA,19133,105000,[],1023,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,197,Land,[],05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
194,2643 Federal St,Philadelphia,PA,19146,396550,1800,531,3,[''],3,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,167,Land,2020,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
195,1243 Kater St,Philadelphia,PA,19147,1470000,4200,974,4,3,4,[],11,['Central A/C'],['Central Heating'],"['Elementary School: ANDREW JACKSON ', 'Elementary School: ANDREW JACKSON']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6159,Multi family,2016,05/15/2020,['Neighborhood: COBBS CREEK<'],['156'],53.0
196,125 W Springfield Ave,Philadelphia,PA,19118,650000,2477,4848,2,1,5,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,8684,Single family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
